_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
748,Kanata Montessori Private School,875104,,Misha Costescu,,,355 Michael Cowpland Dr,Kanata,Ontario,K2M2C5,613-592-2189,613-592-3705,East Region,info@kmscrhs.ca,http://www.kanatamontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
749,Kate Language School,886024,Offers credits toward the Ontario Secondary School Diploma (OSSD),Xin Guan,205,,7481 Woodbine Avenue,Markham,Ontario,L3R2W1,647-289-9467,,Toronto Region,kate.guan@haltonraakelschool.ca,haltonraakelschool.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
750,Kawartha Classical Christian School,669643,,Rylan Auger,,,2673 Maple Grove Road,Cavan,Ontario,K9J0G5,705-312-5364,,East Region,office@kawarthaclassical.com,www.kawarthaclassical.com,Elementary,Not applicable,Site based only,No Association Membership
751,Kawartha Farm School Inc.,884980,,Sarah Smith,,,1304 Prospect Road,Woodville,Ontario,K0M2T0,647-892-9621,,East Region,sarahsmithias@kawarthafarmschool.com,www.kawarthafarmschool.com,Elementary,Not applicable,Site based only,No Association Membership
752,Kawartha Montessori,876810,,Carolyn Donaldson,,,2247 Burnham Line,Otonabee-South Monaghan,Ontario,K9J6X7,705-748-5437,,East Region,admin@kawarthamontessori.com,http://www.kawartha-montessori.org/,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
753,Kawenni:io/Gaweni:yo High School,663905,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tammy Jonathan,c/o Six Nations Reserve,,3201 Second Line 6,Hagersville,Ontario,N0A1H0,905-768-7203,905-768-7150,West Region,registrar@kgschool.ca,www.kgschool.ca,Secondary,First Nation,Site based only,No Association Membership
754,Kayla's Children Centre,884987,,Yehudis Bergmann,,,36 Atkinson Avenue,Thornhill,Ontario,L4J8C9,905-738-5542,905-738-8047,Central Region,yaffi@kaylaschildrencentre.org,www.kaylaschildrencentre.org,Elem/Sec,Not applicable,Site based only,No Association Membership
755,Kayla's Children Centre (High School),884832,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alexandra Rehman,,,36 Atkinson Avenue,Thornhill,Ontario,L4J8C9,905-738-5542,,Central Region,alex@kaylaschildrencentre.org,www.kaylaschildrencentre.org,Secondary,Not applicable,Site based only,No Association Membership
756,Keewaytinook Internet,663930,Offers credits toward the Ontario Secondary School Diploma (OSSD),Patrick Stoddart,,,730 Syndicate Ave South,Thunder Bay,Ontario,P7E1E9,800-387-3740,807-735-3392,North Region,rajendrabudhram@edu.knet.ca,http://www.kihs.knet.ca,Secondary,First Nation,Online/Site Based,No Association Membership
757,Kehila Jewish Community Day School,878529,,Lishai Peel,,,215 Cline Ave N,Hamilton,Ontario,L8S4A1,905-529-7725,905-529-9694,West Region,office@kehilaschool.ca,http://www.kehilaschool.com,Elementary,Not applicable,Site based only,No Association Membership
758,Kempenfelt Bay School,878588,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Carrie Lane,,,2145 Innisfil Beach Road,Innisfil,Ontario,L9S4B9,705-739-4731,705-739-3678,Central Region,acanimkorbigi@kempenfeltbayschool.ca,http://www.kempenfeltbayschool.com/,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
759,Kendalwood Montessori,668625,,Sandeep Dhillon,,,104 Consumers Drive,Whitby,Ontario,L1N5T3,905-665-4766,,East Region,admin@kendalwoodmontessori.com,www.kendalwoodmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
760,Kendelhurst Academy,665767,Offers credits toward the Ontario Secondary School Diploma (OSSD),Paula CARRASCO,,,170 Church Street,Mississauga,Ontario,L5M2M3,905-813-8000,905-821-0891,Central Region,info@kendellhurst.com,www.Kendellhurst.com,Elem/Sec,Not applicable,Site based only,Ontario Federation of Independent Schools
761,Kenilworth Krest Parochial School,876569,,Lydia Martin,,,7240 Sideroad 6 5,Mount Forest,Ontario,N0G2L0,519-323-3561,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
762,Kenjgewin Teg,663654,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sherry Moreau,,,374A Hwy 551,M'Chigeeng,Ontario,P0P1G0,705-370-4342,705-377-4379,North Region,sherrymoreau@kenjgewinteg.ca,www.kenjgewinteg.ca,Secondary,First Nation,Site based only,No Association Membership
763,Kennedy Montessori Private School,666491,,Kiera Thompson,,,7781 Kennedy Rd,Unionville,Ontario,L3R2C8,905-948-1785,905-948-1785,Central Region,kennedymontessori@gmail.com,www.kennedymontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
764,Kent School,667656,Offers credits toward the Ontario Secondary School Diploma (OSSD),Robert Ford,,,4700 Epworth Circle,Niagara Falls,Ontario,L2E1C6,905-358-9991,905-358-3883,West Region,admin@kentschool.ca,www.kentschool.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
765,Kesser Yosef,883386,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ephraim Klein,,,4116 Bathurst St.,Toronto,Ontario,M3H3P2,416-930-1276,,Central Region,office@kesseryosef.com,,Secondary,Not applicable,Site based only,No Association Membership
766,Kew Park Montessori Day School,878863,,Tarynn Parry,,,79 Hiawatha Rd,Toronto,Ontario,M4L2X7,416-694-6273,,Toronto Region,info@kewparkmontessori.com,www.kewparkmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
767,Keystone Montessori School,882370,,Adam Hewitt,,,133 James Street East,Orillia,Ontario,L3V1L7,705-327-2223,,Central Region,info@keystonemontessori.ca,www.keystonemontessori.ca,Elementary,Not applicable,nan,
768,Keystone School,888468,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rachel Shiderman,,,186 St. George Street,Toronto,Ontario,M5R2N3,416-422-4123,,Toronto Region,info@keystoneschools.ca,www.keystoneschools.ca,Elem/Sec,All Year Round,Online/Site Based,Ontario Federation of Independent Schools
769,Khairul Ummah School,665365,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muhammad Ismail Kotwal,,,25 Civic Road,Scarborough,Ontario,M1L2K6,647-707-5366,416-445-8624,East Region,info@khairulummah.ca,www.khairulummah.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
770,Khalsa Community School,877352,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ripsodhak Grewal,,,69 Maitland Street,Brampton,Ontario,L6S3B5,905-791-1750,905-458-9133,Central Region,khalsacommunityschool@hotmail.com,http://www.khalsacommunityschool.com/,Elem/Sec,Not applicable,Site based only,No Association Membership
771,Khalsa Montessori School,886258,,Harpreet Gill,207,,5 Cherrycrest Dr,Brampton,Ontario,L6P3W4,905-913-0801,905-913-0801,Central Region,info@kmschool.org,www.kmschool.org,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
772,Khalsa School Malton,666932,,Gurpreet Singh,,,7280 Airport Rd.,Mississauga,Ontario,L4T2H3,905-671-2010,905-367-5335,Central Region,info@khalsaschoolmalton.com,www.khalsaschoolmalton.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
773,Kids Inc.,881284,,Mary-Katherine Amos,,,5567 Fourth Line Line RR#2,Hillsburgh,Ontario,N0B1Z0,416-453-6949,,West Region,admin@kidsinc.ca,https://kidsinccamp.ca/forest-school/,Elementary,Not applicable,Site based only,No Association Membership
774,KinderKollege Elementary School,877581,,Kathy McTavish,A,,205 Queen Street,Brampton,Ontario,L6W0C8,905-790-2223,905-790-8642,Central Region,admin@kinderkollege.ca,www.kinderkollege.ca,Elementary,Not applicable,Site based only,No Association Membership
775,Kinderhuis Elementary,885537,,William Hill,17,,785 Pacific Rd,Oakville,Ontario,L6L6M3,416-452-6852,,Central Region,billhill@kmps.ca,none,Elementary,Not applicable,Site based only,No Association Membership
776,Kindred Spirits Day School,885075,,Melinda DeNicola,,,415 Pickering Crescent,Newmarket,Ontario,L3Y8G8,905-884-5052,,Central Region,melinda@kindredspirits-school.ca,www.kindredspirits-school.ca,Elementary,Not applicable,Site based only,No Association Membership
777,King Alfred Academy,883209,,Randy FREY,,,1373 Lobsinger Line,Waterloo,Ontario,N2J4G8,519-658-6333,,West Region,info@kingalfred.ca,,Elem/Sec,Not applicable,Site based only,Other
778,King Christian School,885630,,BONNIE NOBLE,,,19740 Bathurst St,East Gwillimbury,Ontario,L9N0N5,905-853-1881,905-853-1701,Central Region,office@kingchristian.ca,http://www.kingchristian.ca,Elementary,Not applicable,Site based only,EDVance
779,King Heights Academy,889823,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elsa Norberto,,,130 Racco Parkway,Thornhill,Ontario,L4J8X9,905-652-1234,905-652-9000,Central Region,info@kingheightsacademy.com,www.kingheightsacademy.com,Elem/Sec,Not applicable,Online/Site Based,IB Schools of Ontario
780,King's Academy,889241,,Kim Phillips,,,410 Sunset Drive,St. Thomas,Ontario,N5R3C7,519-702-5464,,West Region,office@kingsacademycanada.com,www.kingsacademycanada.com,Elementary,Not applicable,Site based only,Canadian Council of Christian Charities (CCCC)
781,King's Christian Collegiate,665398,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lisa Conlin,,,528 Burnhamthorpe Rd W,Oakville,Ontario,L6M4K6,905-257-5464,905-257-5463,Central Region,lconlin@kingschristian.ca,http://www.kingschristian.ca,Secondary,Not applicable,Site based only,EDVance
782,King's College School for Bright and Gifed Children,876577,Offers credits toward the Ontario Secondary School Diploma (OSSD),"Dennis Hahn, Laura Bassaragh",,,16379 The Gore Road,Caledon,Ontario,L7E0X4,905-880-7645,,Central Region,info@kingscollegeschool.ca,www.kingscollegeschool.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
783,King's Cross Academy,886917,,Benjamin Emery,,,194552 19Th Line,Ingersoll,Ontario,N5C3J6,519-485-4440,,West Region,info@kingscrossacademy.com,www.kingscrossacademy.com,Elem/Sec,Not applicable,Site based only,No Association Membership
784,King's Town Private School,884720,,Roxanne Garwood,,,66 RIDEAU ST,KINGSTON,Ontario,K7K2Z7,613-546-5123,,East Region,ask@kingstownschool.ca,http://kingstownschool.ca,Elementary,Not applicable,Site based only,No Association Membership
785,Kingfisher Lake Education Centre,664267,Offers credits toward the Ontario Secondary School Diploma (OSSD),Roy Wagner,,,500 Airport Road,Kingfisher Lake,Ontario,P0V1Z0,807-532-2057,807-532-2153,North Region,amosw@kingfisherlake.ca,,Secondary,First Nation,Site based only,No Association Membership
786,Kingston Christian School,885657,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anita Bull,,,1212 Woodbine Rd,Kingston,Ontario,K7L4V2,613-384-9572,613-384-9580,East Region,admin@kingstonchristianschool.ca,http://www.kingstonchristianschool.ca,Elem/Sec,Not applicable,Online/Site Based,EDVance
787,Kingston Collegiate,668168,Offers credits toward the Ontario Secondary School Diploma (OSSD),Brian Altay,,,477 Green Valley Drive,Windsor,Ontario,N8N4C2,647-830-5838,,West Region,kingstoncollegecnd@gmail.com,https://www.kingstoncollege.ca,Secondary,All Year Round,Online Only,No Association Membership
788,Kingsway Academy,666341,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tetyana Vdovina,,,370 Huron Street,London,Ontario,N6A2K4,519-204-9050,,West Region,kevin@iceap.ca,www.iceapkingsway.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
789,Kingsway Christian Academy,882601,,Tracy Fast,,,3776 Highway 3,Balmoral,Ontario,N0A1H0,905-869-6470,,West Region,mark@kingswaychurch.ca,,Elem/Sec,Not applicable,Site based only,No Association Membership
790,Kingsway College Private High School,885959,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lee Richards,,,1200 Leland Rd,Oshawa,Ontario,L1K2H4,905-433-1144,905-433-1156,East Region,presidentsoffice@kingsway.college,http://www.kingsway.college,Secondary,Not applicable,Site based only,Other
791,Kingsway College School,884812,,Matina Mosun,,,4600 Dundas St W,Etobicoke,Ontario,M9A1A5,416-234-5073,416-234-8386,Toronto Region,nnewton@kcs.on.ca,http://www.kcs.on.ca,Elementary,Not applicable,Site based only,Conference of Independent Schools of Ontario
792,Kinoomaadziwin Education Body,669812,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marlo Beaucage,100,,132 Osprey Miikan,North Bay,Ontario,P1B8G5,705-845-3634,705-845-3637,North Region,nancy.o'donnell@a-e-s.ca,,Secondary,First Nation,Online Only,No Association Membership
793,Kisomo International Collegiate,669857,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mohamed Ali,,,1735 Kipling Ave,Etobicoke,Ontario,M9R2Y8,647-693-9335,416-628-1710,Central Region,info@kisomo.ca,www.kisomo.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
794,Kitchener Waterloo Bilingual School,887676,,Claire Lise Knapp,,,600 Erb Street West,Waterloo,Ontario,N2J3Z4,519-886-6510,519-886-4053,West Region,admin@kwbilingualschool.net,www.kwbilingualschool.com,Elementary,Not applicable,Site based only,No Association Membership
795,Kleinburg Christian School,881708,,Lee Major,,,6950 Nashville Rd,Kleinburg,Ontario,L0J1C0,905-893-7211,,Central Region,leeann.major@kleinburgchristian.ca,www.kleinburgchristian.ca,Elementary,Not applicable,Site based only,EDVance
796,Knox Christian School,885177,,Paul Marcus,,,410 North Scugog Crt,Bowmanville,Ontario,L1C6T1,905-623-5871,905-623-8877,East Region,office@knoxchristian.com,knoxchristian.com,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools (OACS)
797,La Citadelle International Academy,665452,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alfred Abouchar,,,36 Scarsdale Rd,North York,Ontario,M3B2R7,416-385-9685,416-385-9685,Central Region,account@lacitadelleacademy.com,www.lacitadelleacademy.com,Elem/Sec,Not applicable,Site based only,No Association Membership
798,La Maison Montessori House,884134,,Anne Martin,,,1205 Stellar Dr.,Newmarket,Ontario,L3Y7B8,905-895-2110,905-726-4364,Central Region,newmarket@lmmh.ca,www.lmmh.ca,Elementary,Not applicable,Site based only,No Association Membership
799,La Salette Courtland Old Colony Christia,667731,,Jake Dyck,,7,71 La Salette Rd,La Salette,Ontario,N0E1H0,519-582-3077,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
800,La Villa Montessori School,665461,,Gino Falcitelli,106,,1943 Ironoak Way,Oakville,Ontario,L6H3V7,905-844-1900,,Central Region,info@lvms.ca,www.lvms.ca,Elementary,Not applicable,Site based only,Montessori Quality Assurance in Canada (MQA)
801,Lakedale Amish Parochial,887609,,,,,682483 Side Road 6 2,Chatsworth,Ontario,N0H1G0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
802,Lakefield College School,885371,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anne-Marie Kee,,,4391 County Road 29,Lakefield,Ontario,K0L2H0,705-652-3324,705-652-6320,East Region,akee@lcs.on.ca,http://www.lcs.on.ca,Secondary,Not applicable,Online/Site Based,Conference of Independent Schools of Ontario
803,Lakelet Parochial School,878359,,Leah Martin,,,44736 Glennanon Rd 1,Clifford,Ontario,N0G1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
804,Lakeshore School,880729,,David Schleger,,,1555 Sydenham Road,Kingston,Ontario,K7L4V4,613-767-2776,,East Region,info@lakeshoreschool.com,www.lakeshoreschool.ca,Elementary,Not applicable,Site based only,No Association Membership
805,Lakeside Parochial School,669546,,Amy Martin,,,2 Bay Street,Charlton,Ontario,P0J1B0,,,North Region,,,Elementary,Not applicable,Site based only,No Association Membership
806,Lakeview Christian School,887889,,Lorne Martin,,,74705 Bronson Line 1,Zurich,Ontario,N0M2T0,519-565-5286,,West Region,,,Elem/Sec,Not applicable,Site based only,No Association Membership
807,Lakeview Montessori School,880256,,Renee Ryerson,,,13797 Riverside Dr E,Tecumseh,Ontario,N8N1B5,519-735-5005,519-735-7462,West Region,info@lakeviewmontessori.ca,http://www.lakeviewmontessori.ca/,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
808,Lakewood Montessori Christian School,882152,,Katherine Shave,,,2054 Mountainside Drive,Burlington,Ontario,L7P1A8,289-245-1717,,West Region,lakewoodmontessorischool@yahoo.com,lakewoodmontessori.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
809,Lamlash Echoes,883078,,Rosellen Kuepfer,,,421785 Conc. 6 NDR,Elmwood,Ontario,N0G1S0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
810,Langside Parochial,666076,,Martha Brubacher,,,479 Langside Street 5,Lucknow,Ontario,N0G2H0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
811,Laureate College,885783,Offers credits toward the Ontario Secondary School Diploma (OSSD),"Robert Hamilton, Steve Saunders",,,1921 Snake Road,Burlington,Ontario,L7P4Y2,416-800-8434,416-642-7078,Central Region,info@laureatecollege.ca,www.laureatecollege.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
812,Laureates Academy for Gifted Students,881826,Offers credits toward the Ontario Secondary School Diploma (OSSD),Iman Kamali Sarvestani,,,8 Weldrick Road West,Richmond,Ontario,L4C3T8,647-455-2606,,Central Region,info@laureates.ca,www.laureates.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
813,Lauremont School – Lower School,665064,,Rachel Marks,,,8569 Bayview Avenue,Richmond Hill,Ontario,L4B3M7,905-889-6882,905-886-6516,Central Region,vhaines@lauremontschool.ca,www.tmsschool.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
814,Lauremont School – Upper School,885797,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Hill,,,500 Elgin Mills Road E.,Richmond Hill,Ontario,L4C5G1,905-780-1002,905-780-8981,Central Region,sthomas@tmsschool.ca,www.tmsschool.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
815,Laurentian Hills Christian School,887897,,Carolyn Van Zwol,,,11 Laurentian Drive,Kitchener,Ontario,N2E1C1,519-576-6700,519-576-2583,West Region,inquiries@lhcs.net,www.lhcs.net,Elementary,Not applicable,Site based only,EDVance
816,Le Cercle des savoirs,889281,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdelouahid Haouari,211,,435 Saint-Laurent,Ottawa,Ontario,K1K2Z6,613-697-4351,,East Region,henseignant@hotmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
817,Le Mother Mary High School,669978,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christian Bayly,21,,151 Brunel Road,Mississauga,Ontario,L4Z2H6,289-514-2296,,Central Region,lemothermary@gmail.com,https://lemothermary.com,Secondary,All Year Round,Online/Site Based,Independent and Private School Forum
818,Lead Academy,885122,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samantha Wong,4 & 5,,80F Centurian Drive,Markham,Ontario,L3R8C1,289-278-8282,,Central Region,samantha.wong@lead-academy.ca,www.lead-academy.ca,Secondary,Not applicable,Site based only,No Association Membership
819,Leahurst College,880502,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elizabeth Turcke,109,,4 Cataraqui Street,Kingston,Ontario,K7K1Z7,613-767-9201,,East Region,eturcke@leahurstcollege.ca,www.leahurstcollege.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
820,Learning Beam Academy,889197,Offers credits toward the Ontario Secondary School Diploma (OSSD),Itwant Johal,,,209 -19 Woodbine Downs Boulevard,Etobicoke,Ontario,M9W6N5,416-887-0769,,Toronto Region,learningbeam@gmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
821,Learning Genius Academy Inc,885331,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chandan Jha,204,,4515 EBENEZER RD,Brampton,Ontario,L6P2K7,647-869-4222,289-632-1510,Central Region,learning_genius@yahoo.ca,www.learninggeniusacademy.com,Secondary,All Year Round,Site based only,No Association Membership
822,Lee Academy Private Elementary School,878332,,Alison Will,,,1978 2nd Concession W RR 1,Lynden,Ontario,L0R1T0,519-647-9772,,West Region,director@leeacademy.com,http://www.leeacademy.com,Elementary,Not applicable,Site based only,No Association Membership
823,Lennox & Addington Cornerstone Christian,876860,,Pamela Mutch,,,320 Bridge St W,Napanee,Ontario,K7R3S7,613-354-2354,613-354-2354,East Region,cornerstonechristiannapanee@gmail.com,www.cornerstonenapanee.com,Elementary,Not applicable,Site based only,No Association Membership
824,"Leo Baeck Day School, The",886769,,Adina Lubek,,,501 Arlington Avenue,Toronto,Ontario,M6C3A4,416-787-9899,,Toronto Region,info@leobaeck.ca,www.leobaeck.ca,Elementary,Not applicable,Site based only,Centre for Jewish Education
825,Leonardo Da Vinci Academy of Arts and,882909,,Susan Lee,,,901 Lawrence Ave W,Toronto,Ontario,M6A1C3,416-247-6137,416-247-6138,Toronto Region,ldva@ldva.on.ca,http://www.ldva.on.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
826,Lev Academics,883201,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elise Greenberg,118,,463 Eglinton Avenue West,Toronto,Ontario,M5N1A7,647-300-3130,,Toronto Region,elise@levacademics.com,levacademics.com,Secondary,All Year Round,Online/Site Based,No Association Membership
827,Liberty Prep School,666744,,Leslie Shuber,,,162 Parliament Street,Toronto,Ontario,M5A2Z1,416-603-0341,,Toronto Region,learn@libertyprepschool.com; laura@libertyprepschool.com,www.libertyprepschool.com,Elementary,Not applicable,Site based only,No Association Membership
828,Lighthouse Christian School,881789,,Nancy Wall,,,59 Victoria Street,Port Burwell,Ontario,N0J1T0,519-671-0467,,West Region,lgcprivateschool@gmail.com,lgcprivateschool.com,Elem/Sec,Not applicable,Site based only,No Association Membership
829,Lilac Grove Parochial School,877158,,Miriam Sittler,,,716 Elderslie Con 10 2,Dobbinton,Ontario,N0H1L0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
830,Limehouse Forest School,882491,,Emily Janecek,,,12389 5th Line,Limehouse,Ontario,L0P1H0,519-373-6951,,Central Region,limehouseforestschool@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
831,Linbrook School,883704,,Mike Packowski,,,1079 Linbrook Road,Oakville,Ontario,L6J2L2,905-844-2697,,Central Region,info@linbrook.ca,www.linbrook.ca,Elementary,Not applicable,Site based only,No Association Membership
832,Lindale Parochial School,886947,,Esther Weber,,,5545 Ament Line 1,Linwood,Ontario,N0B2A0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
833,"Linden School, The",876186,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Valani,3 & 4,,920 Yonge Street,Toronto,Ontario,M4W3C7,416-966-4406,416-966-9736,Toronto Region,principal@lindenschool.ca,http://www.lindenschool.ca,Elem/Sec,Not applicable,Site based only,Other
834,Link On Learning,665758,,Janice Frohlich,203,,1220 Stellar Drive,Newmarket,Ontario,L3Y7B9,905-895-9493,,Central Region,janice@linkonlearning.com,www.linkonlearning.com,Elementary,Not applicable,Online Only,No Association Membership
835,Listowel Christian School,888923,,THERESA JANECZKO,,,305 Binning Street W,Listowel,Ontario,N4W1G4,519-291-3086,,West Region,office@listowelchristianschool.ca,www.listowelchristianschool.ca,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools (OACS)
836,Literacy and Mathematics Academy,884652,,Nicole Guerriero,,,1 King Street West,Stoney Creek,Ontario,L8G1G7,289-441-1078,,West Region,info@literacymathacademy.com,www.literacymathacademy.com,Elementary,Not applicable,Site based only,No Association Membership
837,Little House Montessori School,665560,,Joanne Harrison,,,140 Maple Street,Collingwood,Ontario,L9Y2P8,705-444-9997,705-293-0892,Central Region,littlehousemontessorischool@gmail.com,www.littlehousemontessori.net,Elementary,Not applicable,Site based only,No Association Membership
838,Living Hope Christian School,883879,,Heather Windatt,,,1045 Garth ST,Hamilton,Ontario,L9C4L5,905-667-1197,905-667-1198,West Region,info@lhcschool.tv,www.findhope.tv,Elementary,Not applicable,Site based only,No Association Membership
839,Lodestar Montessori School,883156,,Erin Kerr,,,120 Taylor Road,Bracebridge,Ontario,P1L1J2,647-608-0416,,Central Region,office@lodestarmontessorischool.com,lodestarmontessorischool.com,Elementary,Not applicable,Site based only,Montessori Quality Assurance in Canada (MQA)
840,Lolart School,669329,Offers credits toward the Ontario Secondary School Diploma (OSSD),Justin Li,700,,920 Yonge Street,Toronto,Ontario,M4W3C7,416-250-8110,,Central Region,guidance@lolart.ca,www.lolart.academy,Secondary,All Year Round,Online/Site Based,No Association Membership
841,London Christian Academy,887684,,Sandy Tauschek,,,85 Charles St,London,Ontario,N6H1H1,519-473-3332,519-473-9843,West Region,office@londonchristianacademy.ca,www.londonchristianacademy.ca,Elementary,Not applicable,Site based only,EDVance
842,London Christian Elementary School,885746,,Stephen Janssen,,,202 Clarke Road,London,Ontario,N5W5E4,519-455-0360,,West Region,principal@londonchristian.ca,http://www.londonchristian.ca,Elementary,Not applicable,Site based only,EDVance
843,London Christian High School,885738,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gabriella Hoogstra,,,24 Braesyde Ave,London,Ontario,N5W1V3,519-455-4360,519-455-4364,West Region,office@lchonline.ca,www.londonchristianhigh.ca,Secondary,Not applicable,Site based only,EDVance
844,London Community Hebrew Day School,887404,,NECHAMA SILBERBERG,,,536 Huron St,London,Ontario,N5Y4J5,519-439-8419,519-439-0404,West Region,office@lchds.ca,,Elementary,Not applicable,Site based only,No Association Membership
845,London International Academy,666947,Offers credits toward the Ontario Secondary School Diploma (OSSD),Linda Thomas,,,365 Richmond St,London,Ontario,N6A3C2,519-433-3388,519-433-3387,West Region,lthomas@lia-edu.ca,www.lia-edu.ca,Secondary,Not applicable,Online/Site Based,Independent and Private School Forum
846,London Islamic School,877557,,Patricia Zabian,,,151 Oxford St W,London,Ontario,N6H1S3,519-679-9920,519-679-6842,West Region,info@londonislamicschool.com,www.londonislamicschool.com,Elementary,Not applicable,Site based only,No Association Membership
847,London Waldorf School,881120,,Imke Jorgensen,,,7 Beaufort St,London,Ontario,N6G1A5,519-858-8862,519-858-8863,West Region,admin@londonwaldorf.ca,http://www.londonwaldorf.ca,Elementary,Not applicable,Site based only,No Association Membership
848,Longbridge Academy,881778,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nazanin Akbari,,,38 Berzcy Street,Aurora,Ontario,L4G1W9,905-237-0380,,Central Region,info@longbridgeacademy.com,https://longbridgeacademy.com/,Secondary,All Year Round,Online Only,No Association Membership
849,Lorvale Academy,885469,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yan Chen,101,,7550 Birchmount Road,Markham,Ontario,L3R6C6,905-497-2114,,Toronto Region,info@lorvale.com,www.lorvale.com,Secondary,Not applicable,Online/Site Based,No Association Membership
850,Lote tree Foundation,885067,,ZAHIR BACCHUS,,,291 Great Lakes Drive,BRAMPTON,Ontario,L6R2Z4,647-919-2098,,Central Region,admin@lotetree.ca,www.lotetree.ca,Elementary,Not applicable,Site based only,No Association Membership
851,Lotus Academy,883535,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sylvia Lyu,4,,"250 Shields Ct, 2nd Floor",Markham,Ontario,L3R9W7,647-704-6922,,East Region,sylvia.lyu@lotusacademy.ca,www.lotusacademy.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
852,Lutherwood Parochial School,666858,,Jesse Weber,,,8476 Wellington Rd 16 2,Arthur,Ontario,N0G1A0,206-979-0889,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
853,Lycée Claudel,888117,,Nicolas Nicolas,,,1635 Lycee Place,Ottawa,Ontario,K1G0E5,613-733-8522,613-733-3782,East Region,proviseur@claudel.org,http://www.claudel.org,Elem/Sec,Not applicable,Site based only,No Association Membership
